Region,Species,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cordillera Administrative Region ,Slipmouth ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Snapper ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Spanish mackerel ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Squid ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Threadfin bream ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Yellowfin tuna ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region I ,Acetes ,,,4.0,25.0,29.0,62.15,70.94999999999999,34.08,18.29,8.35,7.29,6.220000000000001,5.7299999999999995,3.81,3.2266666666666666,7.9,15.56,9.370000000000001,6.34,15.373333333333335,4.68,5.12,13.16
Region I ,Anchovies ,424.0,107.0,128.0,99.62,150.84,109.72,125.88,35.83,136.11,156.5,96.15,60.370000000000005,86.73,95.21000000000001,144.69,98.82,41.19,29.369999999999997,29.929999999999996,33.760000000000005,17.04,14.32,18.119999999999997
Region I ,Big-eyed scad ,147.0,123.0,148.0,163.07,184.82,354.93,374.97,229.91000000000003,365.62,630.6199999999999,223.55,209.89,213.31,143.35,117.43,108.19,116.33999999999999,122.26000000000002,124.55000000000001,134.32,41.739999999999995,56.89,26.02
Region I ,Bigeye tuna ,,,,152.0,80.0,90.98,122.45,5.3,13.529999999999998,15.47,10.68,18.89,18.87,21.17,27.57,27.11,34.18,30.17,155.14,32.63,37.6,62.019999999999996,114.46
Region I ,Blue crab ,16.0,11.0,17.0,62.95,63.46,85.73000000000002,99.07,31.880000000000003,12.059999999999999,9.09,9.61,18.15,14.990000000000002,15.32,16.33,19.990000000000002,26.84,24.61,23.61,30.33,19.849999999999998,13.740000000000002,10.899999999999999
Region I ,Caesio ,,4.0,7.0,47.0,73.0,136.62,122.13,73.61999999999999,26.07,27.23,19.799999999999997,23.849999999999998,36.41,38.55,36.129999999999995,30.950000000000003,34.510000000000005,37.27,32.09,30.14,18.92,11.280000000000001,9.6
Region I ,Cavalla ,10.666666666666666,17.0,20.0,79.47,95.9,123.83,173.71,61.91,25.17,21.07,31.940000000000005,43.69,43.36,48.72,49.81,50.6,73.14000000000001,79.16,77.6,80.56,25.869999999999997,12.68,10.540000000000001
Region I ,Crevalle ,191.0,217.0,220.71,148.22,170.07999999999998,217.18,185.19,130.76,81.05,46.18000000000001,40.230000000000004,49.31,60.699999999999996,59.07,58.510000000000005,68.16,79.09,86.63,44.58,64.74000000000001,24.14,19.550000000000004,18.82
Region I ,Eastern little tuna ,11.0,14.0,14.666666666666666,48.8,67.14,99.13,86.91,51.220000000000006,41.760000000000005,5.56,7.289999999999999,16.91,11.72,18.450000000000003,22.47,23.03,36.28,37.54,91.39,69.75,131.75,107.50999999999999,78.97333333333334
Region I ,Fimbriated sardines ,57.0,9.0,4.0,61.57333333333333,48.74,67.78999999999999,68.9,55.14,9.129999999999999,35.29,19.93,17.04,14.169999999999998,14.329999999999998,9.146666666666665,11.013333333333334,12.91,6.7299999999999995,7.3100000000000005,4.66,3.35,3.6799999999999997,7.0
Region I ,Flying fish ,,,,,,,,,,,,7.67,8.42,5.53,14.33,19.02,23.62,23.060000000000002,22.0,20.44,,0.2,
Region I ,Frigate tuna ,8.0,8.0,14.666666666666666,22.08,48.1,44.629999999999995,59.910000000000004,39.63999999999999,9.76,13.49,13.31,23.07,24.14,41.14,224.6,421.98999999999995,46.65,1040.12,653.29,96.53999999999999,582.5699999999999,252.13,145.04
Region I ,Goatfish ,63.0,62.0,50.0,109.14,118.07,128.16,105.97999999999999,84.49000000000001,29.669999999999998,18.79,26.029999999999998,35.82,66.22,58.54,63.71000000000001,55.26,74.13000000000001,109.46,92.62,116.54999999999998,68.74000000000001,78.78999999999999,23.83
Region I ,Grouper ,,6.0,8.0,91.52,119.00999999999999,120.3,104.9,93.71,24.82,9.870000000000001,23.64,24.84,28.07,33.01,33.709999999999994,29.520000000000003,35.089999999999996,39.19,50.13,63.349999999999994,29.43,17.6,8.44
